
"Tarea","Título Tarea","ID Tarea","Email Empleador","Nombre Postulado","ID Postulado","Monto Ofertado","Mensaje","Timestamp","Last Updated","Created By","Updated By","Draft","IP","ID","Key"
"Ayudante","Ayudante","85","mislejose@gmail.com","","2","78","gfhg","2020-10-09 23:48:06","2020-10-09 23:48:06","misledy1","misledy1","0","::1","1","e75f9"
"Ayudante","Ayudante","85","mislejose@gmail.com","","2","28","Estaría dispuesto hacerlo por menos de lo ofertado","2020-10-09 23:54:44","2020-10-09 23:54:44","misledy1","misledy1","0","::1","2","hwspp"
"Asistente","Asistente","53","mislejose@gmail.com","","2","70","mas diero","2020-10-12 18:55:38","2020-10-12 18:55:38","misledy1","misledy1","0","::1","3","kwzpg"
"Ayudante","Ayudante","130","misledy1@hotmail.com","","5","18","mas barato","2020-10-12 20:23:11","2020-10-12 20:23:11","malastre5","malastre5","0","::1","4","xwrp5"
"Ayudante","Ayudante","130","misledy1@hotmail.com","","2","400","dfsdf","2020-10-12 20:58:07","2020-10-12 20:58:07","misledy1","misledy1","0","::1","5","68pu0"
"Ayudante","Ayudante","130","misledy1@hotmail.com","","2","78","","2020-10-12 21:00:19","2020-10-12 21:00:19","misledy1","misledy1","0","::1","6","wptte"
"Ayudante","Ayudante","130","misledy1@hotmail.com","","2","78","q","2020-10-12 21:01:45","2020-10-12 21:01:45","misledy1","misledy1","0","::1","7","s0ole"
"Ayudante","Ayudante","85","mislejose@gmail.com","","5","50","prueba 1","2020-10-12 21:38:28","2020-10-12 21:38:28","malastre5","malastre5","0","::1","8","tdfe0"
"Ayudante","Ayudante","156","malastre5@gmil.com","","5","45","50 505","2020-10-12 21:41:06","2020-10-12 21:41:06","malastre5","malastre5","0","::1","9","4j3sm"
"Ayudante","Ayudante","85","malastre5@gmil.com","","5","100","tarae 130","2020-10-12 21:43:40","2020-10-12 21:43:40","malastre5","malastre5","0","::1","10","udwrd"
"Ayudante de albañil1-Misledy Uno","Ayudante de albañil1","85","mislejose@gmail.com","Misledy Uno","2","788","esto es ua pruea","2020-10-13 02:28:22","2020-10-13 02:28:22","misledy1","misledy1","0","::1","11","jiau8"
"Asistente personal-Misledy Uno","Asistente personal","53","mislejose@gmail.com","Misledy Uno","2","505","haciendo prueba","2020-10-13 02:29:17","2020-10-13 02:29:17","misledy1","misledy1","0","::1","12","y4n4c"
"Ayudante de albañil1-Misledy Uno","Ayudante de albañil1","85","mislejose@gmail.com","Misledy Uno","2","78","Acepto las condiciones del trabajo tarea","2020-10-12 21:29:10","2020-10-12 21:29:10","misledy1","misledy1","0","::1","13","suv67"
"Encargado de edificio-Misledy Uno","Encargado de edificio","174","malastrevrasur@gmail.com","Misledy Uno","2","20","Exactamente que debo hacer","2020-10-15 00:50:49","2020-10-15 00:50:49","misledy1","misledy1","0","::1","14","fc3b6"
